                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2846,                 3.0297,                 1.4107,                 0.5435,                 0.0625,                0.31666,                0.25257,                 1.9138,                 4.7246,                 2.2618,              0.0006733,              0.0006733,              0.0006733
                     35,                 1.3983,                 3.9456,                 1.4717,                 0.5435,                 0.0625,                0.31666,                0.25257,                 1.9138,                 4.7246,                 2.2618,              0.0006634,              0.0006634,              0.0006634
                     36,                 1.4053,                 3.5089,                 1.4586,                0.57984,                 0.0625,                0.31573,                0.26313,                 1.9208,                 4.8923,                 2.3252,              0.0006535,              0.0006535,              0.0006535
                     37,                 1.3903,                 3.3378,                 1.3873,                0.57984,                 0.0625,                0.31573,                0.26313,                 1.9208,                 4.8923,                 2.3252,              0.0006436,              0.0006436,              0.0006436
                     38,                 1.6413,                 3.2827,                 1.5118,                0.58845,                 0.0625,                0.28562,                0.16979,                 1.9973,                 4.9915,                  2.307,              0.0006337,              0.0006337,              0.0006337
                     39,                 1.3469,                 2.6722,                 1.4147,                0.58845,                 0.0625,                0.28562,                0.16979,                 1.9973,                 4.9915,                  2.307,              0.0006238,              0.0006238,              0.0006238
                     40,                 1.3962,                  2.647,                 1.4217,                0.85454,                 0.0625,                0.09994,                0.04915,                 2.3065,                 5.3976,                 2.5483,              0.0006139,              0.0006139,              0.0006139
                     41,                 1.3314,                 2.9182,                 1.4796,                0.85454,                 0.0625,                0.09994,                0.04915,                 2.3065,                 5.3976,                 2.5483,               0.000604,               0.000604,               0.000604
                     42,                 1.2979,                 2.3746,                 1.3102,                0.85928,                 0.0625,                0.05045,                0.01836,                 2.3859,                 5.9716,                 2.6029,              0.0005941,              0.0005941,              0.0005941
                     43,                 1.4545,                 2.9166,                 1.4558,                0.85928,                 0.0625,                0.05045,                0.01836,                 2.3859,                 5.9716,                 2.6029,              0.0005842,              0.0005842,              0.0005842
                     44,                 1.4468,                 2.9143,                 1.5345,                0.85928,                 0.0625,                0.05045,                0.01836,                 2.3859,                 5.9716,                 2.6029,              0.0005743,              0.0005743,              0.0005743
                     45,                 1.3555,                 2.7396,                 1.4736,                0.80682,                 0.0625,                0.02956,                0.00657,                 2.3717,                 7.1473,                 2.6773,              0.0005644,              0.0005644,              0.0005644
                     46,                 1.3954,                 2.8261,                 1.4001,                0.80682,                 0.0625,                0.02956,                0.00657,                 2.3717,                 7.1473,                 2.6773,              0.0005545,              0.0005545,              0.0005545
                     47,                  1.137,                 2.7521,                 1.2948,                0.74704,                 0.3125,                0.25549,                0.02741,                 2.2842,                 7.5594,                  2.655,              0.0005446,              0.0005446,              0.0005446
                     48,                 1.1334,                  2.834,                 1.3236,                0.74704,                 0.3125,                0.25549,                0.02741,                 2.2842,                 7.5594,                  2.655,              0.0005347,              0.0005347,              0.0005347
                     49,                 1.3732,                  2.569,                 1.5552,                0.75885,                 0.3125,                0.26265,                0.03135,                  2.261,                 7.1779,                 2.5004,              0.0005248,              0.0005248,              0.0005248
                     50,                  1.246,                 2.4325,                 1.2857,                0.75885,                 0.3125,                0.26265,                0.03135,                  2.261,                 7.1779,                 2.5004,              0.0005149,              0.0005149,              0.0005149
                     51,                 1.2552,                 2.7473,                 1.3652,                0.75885,                 0.3125,                0.26265,                0.03135,                  2.261,                 7.1779,                 2.5004,               0.000505,               0.000505,               0.000505
                     52,                 1.2119,                 2.3655,                 1.2269,                0.79751,                 0.3125,                0.27315,                0.04156,                 2.3895,                 6.2826,                 2.5164,              0.0004951,              0.0004951,              0.0004951
                     53,                 1.1644,                 2.2522,                 1.2786,                0.79751,                 0.3125,                0.27315,                0.04156,                 2.3895,                 6.2826,                 2.5164,              0.0004852,              0.0004852,              0.0004852
                     54,                 1.3119,                 3.1295,                 1.5371,                0.98798,                   0.25,                0.28611,                0.06154,                 2.3792,                 5.1475,                 2.4167,              0.0004753,              0.0004753,              0.0004753
                     55,                  1.218,                 2.3922,                 1.2835,                0.98798,                   0.25,                0.28611,                0.06154,                 2.3792,                 5.1475,                 2.4167,              0.0004654,              0.0004654,              0.0004654
                     56,                 1.2669,                 2.3102,                 1.4446,                0.87552,                 0.3125,                0.35961,                0.12079,                  2.301,                 4.6675,                 2.3574,              0.0004555,              0.0004555,              0.0004555
                     57,                 1.1504,                 2.1412,                 1.2551,                0.87552,                 0.3125,                0.35961,                0.12079,                  2.301,                 4.6675,                 2.3574,              0.0004456,              0.0004456,              0.0004456
                     58,                 1.2825,                 2.7166,                 1.3526,                0.92454,                 0.3125,                0.38493,                0.11605,                 2.1935,                 4.9777,                 2.3231,              0.0004357,              0.0004357,              0.0004357
                     59,                  1.169,                  2.382,                 1.2502,                0.92454,                 0.3125,                0.38493,                0.11605,                 2.1935,                 4.9777,                 2.3231,              0.0004258,              0.0004258,              0.0004258
                     60,                 1.2394,                 2.4361,                 1.3668,                0.92454,                 0.3125,                0.38493,                0.11605,                 2.1935,                 4.9777,                 2.3231,              0.0004159,              0.0004159,              0.0004159
                     61,                 1.2774,                 2.6953,                 1.3212,                0.58253,                  0.125,                0.17348,                0.10788,                 2.0545,                 5.1239,                 2.2734,               0.000406,               0.000406,               0.000406
                     62,                 1.2259,                 2.5715,                 1.3537,                0.58253,                  0.125,                0.17348,                0.10788,                 2.0545,                 5.1239,                 2.2734,              0.0003961,              0.0003961,              0.0003961
                     63,                 1.2685,                  2.226,                 1.2848,                0.71234,                 0.0625,                0.18071,                0.11565,                 2.2766,                 5.1943,                 2.5265,              0.0003862,              0.0003862,              0.0003862
                     64,                 1.3916,                 3.2802,                 1.5367,                0.71234,                 0.0625,                0.18071,                0.11565,                 2.2766,                 5.1943,                 2.5265,              0.0003763,              0.0003763,              0.0003763
                     65,                 1.2649,                 2.2077,                 1.2772,                0.68941,                 0.0625,                0.22629,                0.15331,                  2.333,                 5.5979,                 2.5664,              0.0003664,              0.0003664,              0.0003664
                     66,                 1.2004,                 2.1822,                 1.1336,                0.68941,                 0.0625,                0.22629,                0.15331,                  2.333,                 5.5979,                 2.5664,              0.0003565,              0.0003565,              0.0003565
                     67,                0.96415,                  2.384,                 1.1989,                0.68941,                 0.0625,                0.22629,                0.15331,                  2.333,                 5.5979,                 2.5664,              0.0003466,              0.0003466,              0.0003466
                     68,                 1.1004,                 2.2997,                 1.3067,                0.33152,                  0.125,                0.18782,                0.12872,                 2.2333,                 5.8477,                 2.5007,              0.0003367,              0.0003367,              0.0003367
                     69,                 1.2604,                 2.4548,                 1.3968,                0.33152,                  0.125,                0.18782,                0.12872,                 2.2333,                 5.8477,                 2.5007,              0.0003268,              0.0003268,              0.0003268
                     70,                 1.1428,                 2.2955,                 1.2874,                0.69804,                 0.0625,                0.16227,                0.10931,                 2.2586,                  5.587,                 2.5531,              0.0003169,              0.0003169,              0.0003169
                     71,                 1.1596,                 2.4412,                 1.2917,                0.69804,                 0.0625,                0.16227,                0.10931,                 2.2586,                  5.587,                 2.5531,               0.000307,               0.000307,               0.000307
                     72,                 1.0578,                 2.4285,                 1.2758,                0.72945,                 0.0625,                0.15472,                0.09781,                 2.2188,                 5.5298,                  2.464,              0.0002971,              0.0002971,              0.0002971
                     73,                 1.0139,                 2.2296,                 1.2495,                0.72945,                 0.0625,                0.15472,                0.09781,                 2.2188,                 5.5298,                  2.464,              0.0002872,              0.0002872,              0.0002872
                     74,                 1.1758,                 2.3987,                 1.2465,                0.73999,                 0.0625,                0.15149,                0.08019,                 2.1092,                 5.0277,                 2.4348,              0.0002773,              0.0002773,              0.0002773
                     75,                0.90218,                 1.8718,                 1.0793,                0.73999,                 0.0625,                0.15149,                0.08019,                 2.1092,                 5.0277,                 2.4348,              0.0002674,              0.0002674,              0.0002674
                     76,                 1.0151,                 2.5003,                 1.2841,                0.73999,                 0.0625,                0.15149,                0.08019,                 2.1092,                 5.0277,                 2.4348,              0.0002575,              0.0002575,              0.0002575
                     77,                 1.1187,                 2.1956,                 1.3017,                0.73975,                 0.0625,                0.24486,                0.12397,                 2.1953,                  4.842,                 2.4969,              0.0002476,              0.0002476,              0.0002476
                     78,                 1.1682,                 2.1291,                 1.1905,                0.73975,                 0.0625,                0.24486,                0.12397,                 2.1953,                  4.842,                 2.4969,              0.0002377,              0.0002377,              0.0002377
