                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5426,                 3.2865,                 1.4917,                0.49304,                0.06667,                0.05976,                0.01401,                  2.393,                 5.2059,                 1.8709,              0.0006634,              0.0006634,              0.0006634
                     36,                 1.3594,                 3.1968,                 1.3285,                0.49246,                0.06667,                0.06428,                0.02312,                 2.4514,                 7.0264,                 1.8982,              0.0006535,              0.0006535,              0.0006535
                     37,                 1.3059,                 2.8876,                 1.3189,                0.49246,                0.06667,                0.06428,                0.02312,                 2.4514,                 7.0264,                 1.8982,              0.0006436,              0.0006436,              0.0006436
                     38,                 1.5059,                 3.1518,                 1.3811,                0.19668,                0.12136,                0.12688,                0.05531,                 2.5548,                 13.244,                  1.939,              0.0006337,              0.0006337,              0.0006337
                     39,                 1.3629,                 3.0995,                 1.3077,                0.19668,                0.12136,                0.12688,                0.05531,                 2.5548,                 13.244,                  1.939,              0.0006238,              0.0006238,              0.0006238
                     40,                 1.3112,                 2.9861,                 1.3096,                0.27322,                0.17095,                 0.1273,                0.06796,                 2.3205,                 10.193,                 1.7999,              0.0006139,              0.0006139,              0.0006139
                     41,                 1.3322,                 3.2874,                 1.2892,                0.27322,                0.17095,                 0.1273,                0.06796,                 2.3205,                 10.193,                 1.7999,               0.000604,               0.000604,               0.000604
                     42,                 1.2673,                 2.4501,                 1.2342,                0.20629,                0.17778,                0.12474,                0.07843,                 2.4354,                 6.4631,                 1.9099,              0.0005941,              0.0005941,              0.0005941
                     43,                 1.3524,                 3.1512,                 1.3097,                0.20629,                0.17778,                0.12474,                0.07843,                 2.4354,                 6.4631,                 1.9099,              0.0005842,              0.0005842,              0.0005842
                     44,                 1.2799,                 3.0211,                 1.3102,                0.20629,                0.17778,                0.12474,                0.07843,                 2.4354,                 6.4631,                 1.9099,              0.0005743,              0.0005743,              0.0005743
                     45,                 1.2885,                 2.5624,                 1.2333,                0.64895,                0.06667,                0.09234,                0.03448,                 2.3653,                 5.5357,                 1.9457,              0.0005644,              0.0005644,              0.0005644
                     46,                 1.1762,                 2.8658,                 1.2949,                0.64895,                0.06667,                0.09234,                0.03448,                 2.3653,                 5.5357,                 1.9457,              0.0005545,              0.0005545,              0.0005545
                     47,                 1.3066,                 3.1795,                 1.2856,                0.63727,                0.06667,                0.07972,                0.02123,                 2.4689,                  5.565,                  1.981,              0.0005446,              0.0005446,              0.0005446
